y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
2.0,1.765998,1.2805742610619473,0.031411,5.366491000000001,8.639255985619464,2.0,0.193558,3.0,2.622698,0.89365,8.990136999999997,7.755609
1.0,1.776363,1.361389,0.761303,6.35346889258029,10.484468,2.0,0.011895,3.0,8.343507,0.978851,9.139275,6.1046010000000015
2.0,1.7742708565121408,1.660602,0.349677,3.4430690000000004,15.21714,1.0,0.058478,3.0,4.717711202433635,1.426715,9.024671,8.548405
2.0,1.775124,1.243572,0.458525,4.826173000000002,14.434667,2.0,0.310368,1.0,2.603179,0.765714,9.111226,14.122465
1.0,1.77893,1.2805742610619473,0.58108,6.28874,3.822806,1.0,0.766095,3.0,3.543636,0.395943,9.022079,7.664536
2.0,1.78833,1.440445,0.754207,6.317545,10.46432,2.0,0.067887,4.0,7.903397999999998,1.010267,9.054161,4.881113
3.0,1.768097,1.435385,0.35785,10.585138,8.783064999999999,3.0,0.19784,3.0,3.160792,0.8239190000000001,8.974808,7.972408057522115
3.0,1.778313,1.6031799999999998,0.336718,4.176297,18.884884,1.0,0.30457,4.0,1.333287,0.718268,8.926797,6.7849119999999985
2.0,1.771022,1.2805742610619473,0.268869,9.119562,7.664682000000001,2.0,0.505554,3.0,6.7118600000000015,1.12148,8.923246,4.508128
1.0,1.7828849999999998,1.691022,1.7071330000000002,5.635045,2.089065,1.0,0.36658905088495536,3.0,3.189797,0.7768885747508306,9.061203,9.532256
2.0,1.771941,1.402801,0.576377,6.9906570000000015,4.925768,2.0,0.736791,3.0,2.2893830000000004,2.014301,8.933764,12.403714
1.0,1.7883950000000002,1.091617,1.950355,6.236484,5.604578,2.0,0.299688,3.0,2.900609,1.1663629999999998,8.908142999999997,7.972408057522115
3.0,1.781077,1.322946,0.192918,10.595939,14.046991,2.0,0.078572,3.0,5.978104,0.739402,9.061247,10.178539
2.0,1.782055,0.975028,0.916137,6.52442,8.639255985619464,3.0,0.660714,3.0,4.530387,1.213785,8.857611,10.268511
2.0,1.770504,1.0929950000000002,1.3212540000000002,7.87374,19.535459,1.0,0.349508,3.0,4.435325,0.7768885747508306,9.038261,3.237669
2.0,1.7742708565121408,1.2805742610619473,0.7489378473451328,5.228436,13.809988,2.0,0.36658905088495536,2.0,2.772919,0.220007,8.969672000000003,10.301598
2.0,1.775294,1.375161,0.6613100000000001,5.60303,9.392551,2.0,0.750308,4.0,5.178948,0.7768885747508306,8.951138,6.983332000000001
1.0,1.7742708565121408,1.234922,1.224511,1.496577,5.295449,2.0,0.061766,3.0,4.542098,0.24433,9.020568,9.326493
1.0,1.772388,1.42647,0.008362,7.805899,1.897008,1.0,0.484492,2.0,0.8860180000000001,0.6223310000000001,9.071303,8.045552
1.0,1.7742708565121408,0.740114,0.926918,6.358466,8.639255985619464,2.0,0.55924,1.0,2.177738,1.139413,9.05664,5.337161
2.0,1.7742708565121408,1.656559,0.412226,5.6768480000000014,8.961053,2.0,0.5017560000000001,3.0,4.9376190000000015,0.186224,8.939557,7.787684
1.0,1.7765220000000002,1.076519,0.267098,6.141987,1.1065049999999998,1.0,0.7611600000000001,1.0,7.853035,0.401,9.037342,7.526901
1.0,1.7803639999999998,1.787233,0.7489378473451328,4.968008,11.628791,3.0,0.138697,1.0,0.562789,0.743688,8.948298,7.972408057522115
1.0,1.779352,1.231871,0.292006,3.043483,8.119597,2.0,0.686082,3.0,3.90085,0.45674,8.978928,2.979851
2.0,1.7774880000000002,1.358494,0.326714,3.39054,0.866079,3.0,0.06539199999999999,3.0,5.051526,0.027582,8.855203,12.079099
1.0,1.785759,0.866974,0.7489378473451328,3.53895,1.047675,3.0,0.528039,3.0,1.5884969999999998,1.402616,8.986047,8.616094
3.0,1.7742708565121408,1.643695,0.7489378473451328,6.35346889258029,9.269441,2.0,0.275558,4.0,4.012748,0.062087,9.014781,10.64645
2.0,1.774248,1.47653,0.901568,6.35346889258029,1.654584,2.0,0.269268,4.0,9.112717,0.6308560000000001,9.138191,5.940076
2.0,1.77407,1.2805742610619473,1.056177,6.82459,6.050934,2.0,0.07370299999999999,4.0,3.651949,1.35333,9.017896,7.711291
1.0,1.775775,1.003513,0.471273,4.652103,0.4866680000000001,2.0,0.141432,3.0,9.344076,0.888501,9.120456,4.368999
2.0,1.7742708565121408,1.2805742610619473,0.000407,3.1636580000000003,10.777863,2.0,0.466557,3.0,6.065442,0.7543270000000001,8.906668,8.864587
2.0,1.768661,1.487235,0.379573,6.143968,8.142445,3.0,0.596438,4.0,6.1210510000000005,0.6993729999999999,8.999129,8.808183999999997
1.0,1.771177,0.987457,0.7489378473451328,5.369822,7.491183,2.0,0.788856,3.0,4.717711202433635,1.604671,9.192432,7.972408057522115
